method,dataset,seed,bidirectional_chamfer,eps_stop,eval_eps_used,gen_chamfer,gen_manifold_dist,gt_to_learned_mean,gt_to_learned_p95,learned_to_gt_mean,learned_to_gt_p95,n_gt,n_learned,pred_FPrate,pred_manifold_dist,pred_on_mean_v,pred_precision,pred_recall,proj_manifold_dist,proj_steps,proj_true_dist,proj_v_residual
delta,3d_torus_surface,173,0.16355837881565094,0.014056221581995487,0.014056221581995487,,,0.05896729230880737,0.1193317249417305,0.10459108650684357,0.2052602469921112,1024.0,4096.0,0.009125475285171103,0.05509075149893761,3.521701000863686e-05,0.5443037974683544,0.2847682119205298,0.05825773626565933,29.0,0.061681199818849564,4.41515730926767e-05
delta,3d_torus_surface,271,0.1648852825164795,0.013125206343829632,0.013125206343829632,,,0.06006794422864914,0.12885309755802155,0.10481734573841095,0.2040320187807083,1024.0,4096.0,0.010129146619397315,0.0600631982088089,3.223930252715945e-05,0.4936708860759494,0.2653061224489796,0.058594390749931335,29.0,0.06251765787601471,4.5062461140332744e-05
delta,3d_torus_surface,509,0.1622527539730072,0.01494854036718607,0.01494854036718607,,,0.05806590989232063,0.11846347153186798,0.10418684780597687,0.2032417356967926,1024.0,4096.0,0.007948717948717949,0.051348727196455,3.997570456704125e-05,0.6804123711340206,0.336734693877551,0.05786973610520363,29.0,0.060353346168994904,4.2207251681247726e-05
delta,3d_torus_surface,877,0.1684129238128662,0.018484555184841156,0.018484555184841156,,,0.0618576742708683,0.12818622589111328,0.10655524581670761,0.20698128640651703,1024.0,4096.0,0.013462026924053848,0.05725516006350517,6.558969471370801e-05,0.5181818181818182,0.3584905660377358,0.06018675118684769,29.0,0.06184260547161102,3.744001514860429e-05
delta,3d_torus_surface,1123,0.16770967841148376,0.014664609916508198,0.014664609916508198,,,0.06099525839090347,0.12077353894710541,0.10671442002058029,0.20213797688484192,1024.0,4096.0,0.010424612255275871,0.0618387833237648,4.6184868551790714e-05,0.5176470588235295,0.26993865030674846,0.05896100774407387,29.0,0.06335557252168655,4.466698374017142e-05
delta,3d_vz_2d_ellipse,173,0.3097185492515564,0.03935283049941063,0.03935283049941063,,,0.032828912138938904,0.06669636815786362,0.2768896222114563,0.8346395492553711,1024.0,4096.0,0.07476635514018691,0.2614229619503021,0.00030724055250175297,0.07317073170731707,0.8,0.2766880989074707,29.0,0.2800244987010956,4.513933163252659e-05
delta,3d_vz_2d_ellipse,271,0.23074597120285034,0.03208495303988457,0.03208495303988457,,,0.041218407452106476,0.10392932593822479,0.18952757120132446,0.5314138531684875,1024.0,4096.0,0.04276234947161465,0.19957229495048523,0.0002501201815903187,0.10309278350515463,0.7407407407407407,0.18931099772453308,29.30517578125,0.20136864483356476,0.0009675845503807068
delta,3d_vz_2d_ellipse,509,0.22163960337638855,0.0524938590824604,0.0524938590824604,,,0.04221617430448532,0.1202588826417923,0.17942342162132263,0.5719492435455322,1024.0,4096.0,0.06941378464557273,0.18944990634918213,0.0005895967478863895,0.050335570469798654,0.7894736842105263,0.17920927703380585,29.04296875,0.19057519733905792,0.0006765935104340315
delta,3d_vz_2d_ellipse,877,0.21971800923347473,0.05186685174703598,0.05186685174703598,,,0.03783472627401352,0.07673752307891846,0.18188327550888062,0.5497826933860779,1024.0,4096.0,0.063913470993117,0.1770961731672287,0.0005556117976084352,0.0812720848056537,0.8214285714285714,0.1816525012254715,29.19384765625,0.19476324319839478,0.0012999873142689466
delta,3d_vz_2d_ellipse,1123,0.39941808581352234,0.03655373677611351,0.03655373677611351,,,0.03639588505029678,0.07145319133996964,0.36302220821380615,0.9532618522644043,1024.0,4096.0,0.08780127889818003,0.3053172826766968,0.00031058667809702456,0.060526315789473685,0.7666666666666667,0.3628915548324585,29.0,0.365509569644928,4.485475074034184e-05
